         412103431 function calls (411452739 primitive calls) in 724.949 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.107    0.107  724.954  724.954 test_emoca_on_video_copy.py:41(reconstruct_video)
     8884    0.031    0.000  328.642    0.037 manage_plugins.py:171(call_plugin)
     4910    0.037    0.000  319.299    0.065 _io.py:101(imsave)
     4910    0.026    0.000  316.618    0.064 functions.py:270(imwrite)
     4910    0.010    0.000  315.825    0.064 format.py:477(append_data)
     4910    0.033    0.000  315.805    0.064 pillow.py:359(_append_data)
     4910    0.027    0.000  315.696    0.064 pillow.py:202(_append_data)
   106190  314.826    0.003  314.826    0.003 {method 'encode' of 'ImagingEncoder' objects}
     4910    0.027    0.000  314.538    0.064 Image.py:2087(save)
     4910    0.043    0.000  314.477    0.064 PngImagePlugin.py:1178(_save)
     4910    0.044    0.000  314.368    0.064 ImageFile.py:488(_save)
      982    0.107    0.000  240.477    0.245 io.py:49(save_images)
      982    0.195    0.000  214.062    0.218 io.py:19(save_obj)
     1964   57.462    0.029  203.957    0.104 DecaUtils.py:52(write_obj)
        2    0.000    0.000  161.858   80.929 datamodule.py:393(wrapped_fn)
        1    0.000    0.000  161.555  161.555 FaceVideoDataModule.py:3208(prepare_data)
        1    0.001    0.001  160.337  160.337 FaceVideoDataModule.py:229(_detect_faces)
        1    0.016    0.016  160.337  160.337 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.030    0.000  160.147    0.160 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
193433057/193357548  132.833    0.000  132.939    0.000 {method 'format' of 'str' objects}
     1004    0.003    0.000   78.565    0.078 FaceVideoDataModule.py:3243(_detect_faces_in_image)
     1004    0.834    0.001   78.561    0.078 FaceDataModuleBase.py:134(_detect_faces_in_image)
     1004    0.017    0.000   66.068    0.066 FaceDetector.py:91(run)
     1004    0.003    0.000   64.826    0.065 api.py:98(get_landmarks)
     1004    0.008    0.000   64.823    0.065 grad_mode.py:24(decorate_context)
     1004    0.093    0.000   64.796    0.065 api.py:112(get_landmarks_from_image)
      246    0.031    0.000   57.546    0.234 io.py:77(test)
      246    0.004    0.000   53.769    0.219 io.py:86(decode)
        1    1.120    1.120   47.698   47.698 FaceVideoDataModule.py:1720(create_reconstruction_video)
182984/4938   13.580    0.000   46.914    0.010 module.py:1124(_call_impl)
      246    0.052    0.000   42.723    0.174 DECA.py:938(decode)
