         12652241 function calls (12197605 primitive calls) in 142.911 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.982    1.982 saving.py:52(load_from_checkpoint)
     1006    0.007    0.000    1.884    0.002 request.py:89(__init__)
        1    0.000    0.000    1.881    1.881 saving.py:156(_load_model_state)
     1006    0.009    0.000    1.877    0.002 request.py:133(_parse_uri)
        1    0.000    0.000    1.860    1.860 dispatcher.py:340(_compile_for_args)
     2681    1.858    0.001    1.858    0.001 {built-in method posix.stat}
     2295    0.003    0.000    1.857    0.001 genericpath.py:16(exists)
     38/1    0.000    0.000    1.853    1.853 dispatcher.py:864(compile)
     12/1    0.000    0.000    1.853    1.853 dispatcher.py:78(compile)
     12/1    0.000    0.000    1.853    1.853 dispatcher.py:85(_compile_cached)
     12/1    0.000    0.000    1.853    1.853 dispatcher.py:100(_compile_core)
     12/1    0.000    0.000    1.852    1.852 compiler.py:580(compile_extra)
     24/1    0.000    0.000    1.826    1.826 compiler.py:347(compile_extra)
     24/1    0.000    0.000    1.825    1.825 compiler.py:410(_compile_bytecode)
     24/1    0.000    0.000    1.825    1.825 compiler.py:370(_compile_core)
     24/1    0.001    0.000    1.825    1.825 compiler_machinery.py:316(run)
   528/22    0.001    0.000    1.825    0.083 compiler_lock.py:32(_acquire_compile_lock)
   528/22    0.003    0.000    1.825    0.083 compiler_machinery.py:257(_runPass)
  1584/66    0.001    0.000    1.824    0.028 compiler_machinery.py:261(check)
        1    0.000    0.000    1.755    1.755 DECA.py:72(__init__)
        1    0.000    0.000    1.755    1.755 DECA.py:2728(__init__)
      744    1.729    0.002    1.729    0.002 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    1.526    0.763 dataloader.py:431(__iter__)
        2    0.000    0.000    1.526    0.763 dataloader.py:385(_get_iterator)
        2    0.004    0.002    1.526    0.763 dataloader.py:1037(__init__)
    24/12    0.000    0.000    1.497    0.125 typed_passes.py:451(run_pass)
    24/12    0.001    0.000    1.495    0.125 typed_passes.py:360(run_pass)
    58920    1.467    0.000    1.467    0.000 {line}
        2    0.000    0.000    1.418    0.709 FaceDetector.py:77(__init__)
        2    0.001    0.001    1.418    0.709 api.py:52(__init__)
    66776    1.397    0.000    1.397    0.000 {circle}
        1    0.000    0.000    1.332    1.332 _base.py:643(__exit__)
        1    0.000    0.000    1.332    1.332 thread.py:230(shutdown)
       16    0.000    0.000    1.332    0.083 threading.py:979(join)
       16    0.000    0.000    1.332    0.083 threading.py:1017(_wait_for_tstate_lock)
     24/5    0.000    0.000    1.261    0.252 typed_passes.py:97(run_pass)
     24/5    0.000    0.000    1.260    0.252 typed_passes.py:61(type_inference_stage)
       31    0.001    0.000    1.260    0.041 DecaFLAME.py:285(forward)
     24/5    0.000    0.000    1.254    0.251 typeinfer.py:1052(propagate)
    51/11    0.002    0.000    1.254    0.114 typeinfer.py:141(propagate)
        1    0.000    0.000    1.246    1.246 DECA.py:2777(_reinitialize)
  659/219    0.002    0.000    1.240    0.006 typeinfer.py:568(resolve)
  750/236    0.000    0.000    1.236    0.005 context.py:187(resolve_function_type)
  659/219    0.000    0.000    1.236    0.006 typeinfer.py:1500(resolve_call)
  750/236    0.001    0.000    1.236    0.005 context.py:231(_resolve_user_function_type)
   295/80    0.001    0.000    1.215    0.015 typeinfer.py:558(__call__)
       31    0.003    0.000    1.213    0.039 DecaFLAME.py:222(forward)
     37/6    0.000    0.000    1.208    0.201 functions.py:521(get_call_type)
     37/6    0.000    0.000    1.208    0.201 dispatcher.py:300(get_call_template)
     1004    0.002    0.000    1.112    0.001 FaceDataModuleBase.py:110(_instantiate_detector)
   142388    1.112    0.000    1.112    0.000 {method 'astype' of 'numpy.ndarray' objects}
   1500/5    0.010    0.000    1.086    0.217 module.py:577(_apply)
       31    0.016    0.001    1.080    0.035 DecaDecoder.py:60(forward)
       32    0.002    0.000    1.040    0.032 process.py:110(start)
       32    0.000    0.000    1.033    0.032 context.py:222(_Popen)
       32    0.001    0.000    1.033    0.032 context.py:274(_Popen)
       32    0.000    0.000    1.032    0.032 popen_fork.py:15(__init__)
    24/12    0.000    0.000    1.032    0.086 lowering.py:131(lower)
       32    0.002    0.000    1.031    0.032 popen_fork.py:66(_launch)
        2    0.000    0.000    1.002    0.501 sfd_detector.py:19(__init__)
        4    0.000    0.000    0.994    0.249 _utils.py:130(wrapper)
        4    0.000    0.000    0.994    0.249 _utils.py:171(inner_wrapper)
     1006    0.040    0.000    0.990    0.001 format.py:672(search_read_format)
     2008    0.005    0.000    0.986    0.000 memory.py:109(empty_cache)
