         408332515 function calls (407828963 primitive calls) in 587.039 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.049    0.049  587.044  587.044 test_emoca_on_video_copy.py:41(reconstruct_video)
     7902    0.025    0.000  248.406    0.031 manage_plugins.py:171(call_plugin)
      982    0.111    0.000  241.723    0.246 io.py:49(save_images)
     3928    0.027    0.000  238.567    0.061 _io.py:101(imsave)
     3928    0.018    0.000  236.425    0.060 functions.py:270(imwrite)
     3928    0.008    0.000  235.692    0.060 format.py:477(append_data)
     3928    0.023    0.000  235.677    0.060 pillow.py:359(_append_data)
     3928    0.018    0.000  235.595    0.060 pillow.py:202(_append_data)
   105208  234.899    0.002  234.899    0.002 {method 'encode' of 'ImagingEncoder' objects}
     3928    0.020    0.000  234.505    0.060 Image.py:2087(save)
     3928    0.032    0.000  234.459    0.060 PngImagePlugin.py:1178(_save)
     3928    0.033    0.000  234.379    0.060 ImageFile.py:488(_save)
      982    0.208    0.000  213.436    0.217 io.py:19(save_obj)
     1964   55.798    0.028  201.819    0.103 DecaUtils.py:52(write_obj)
193428167/193352658  132.425    0.000  132.524    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000   59.778   59.778 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   59.778   59.778 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   58.225   58.225 FaceVideoDataModule.py:229(_detect_faces)
        1    0.012    0.012   58.224   58.224 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.017    0.000   58.135    0.058 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.003    0.000   58.058    0.058 FaceVideoDataModule.py:3243(_detect_faces_in_image)
     1004    0.824    0.001   58.055    0.058 FaceDataModuleBase.py:134(_detect_faces_in_image)
        1    1.145    1.145   47.674   47.674 FaceVideoDataModule.py:1720(create_reconstruction_video)
     1004    0.015    0.000   44.832    0.045 FaceDetector.py:91(run)
     1004    0.002    0.000   43.792    0.044 api.py:98(get_landmarks)
     1004    0.006    0.000   43.790    0.044 grad_mode.py:24(decorate_context)
     1004    0.079    0.000   43.770    0.044 api.py:112(get_landmarks_from_image)
     2946    0.023    0.000   35.052    0.012 ImageDatasetHelpers.py:69(bbpoint_warp)
     2946   30.407    0.010   34.231    0.012 _warps.py:735(warp)
45674/2178   13.063    0.000   31.201    0.014 module.py:1124(_call_impl)
     1004    0.005    0.000   25.865    0.026 sfd_detector.py:42(detect_from_image)
     1004    0.014    0.000   25.715    0.026 detect.py:10(detect)
     1004    0.065    0.000   24.410    0.024 detect.py:20(batch_detect)
    24846   19.952    0.001   19.952    0.001 {method 'cpu' of 'torch._C._TensorBase' objects}
       16    0.030    0.002   18.772    1.173 io.py:77(test)
       16    0.000    0.000   16.804    1.050 io.py:86(decode)
     1004    0.019    0.000   12.760    0.013 detect.py:41(<listcomp>)
     3974    0.034    0.000   12.298    0.003 _io.py:16(imread)
       16    0.005    0.000   12.106    0.757 DECA.py:938(decode)
     3974    0.018    0.000   11.952    0.003 imageio_plugin.py:8(imread)
     3974    0.012    0.000   11.928    0.003 functions.py:237(imread)
     3974    0.011    0.000   11.101    0.003 functions.py:148(get_reader)
     7902    0.022    0.000   10.908    0.001 format.py:215(__init__)
    33764    0.039    0.000   10.881    0.000 conv.py:456(forward)
    33764    0.030    0.000   10.820    0.000 conv.py:448(_conv_forward)
    33764   10.790    0.000   10.790    0.000 {built-in method torch.conv2d}
193275029   10.675    0.000   10.675    0.000 {method 'write' of '_io.TextIOWrapper' objects}
