         12658593 function calls (12203965 primitive calls) in 127.782 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018  127.784  127.784 test_emoca_on_video_asyncio.py:52(reconstruct_video)
        2    0.000    0.000   76.437   38.219 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   76.137   76.137 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   71.877   71.877 FaceVideoDataModule.py:229(_detect_faces)
        1    0.011    0.011   71.877   71.877 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.017    0.000   71.749    0.071 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   71.654    0.071 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    0.832    0.001   71.650    0.071 FaceDataModuleBase.py:134(_detect_faces_in_image)
54629/2358   13.190    0.000   53.645    0.023 module.py:1124(_call_impl)
     1004    0.018    0.000   43.222    0.043 FaceDetector.py:91(run)
     1004    0.002    0.000   42.168    0.042 api.py:98(get_landmarks)
     1004    0.008    0.000   42.166    0.042 grad_mode.py:24(decorate_context)
     1004    0.088    0.000   42.138    0.042 api.py:112(get_landmarks_from_image)
       31    0.028    0.001   40.079    1.293 io.py:77(test)
       31    0.002    0.000   24.238    0.782 DECA.py:469(encode)
       93    0.000    0.000   24.093    0.259 DecaEncoder.py:59(forward)
  899/527    0.011    0.000   24.005    0.046 container.py:137(forward)
       93    0.000    0.000   24.003    0.258 DecaEncoder.py:50(forward_features)
       93    0.004    0.000   24.002    0.258 ResNet.py:66(forward)
     1004    0.006    0.000   23.593    0.023 sfd_detector.py:42(detect_from_image)
     1004    0.016    0.000   23.440    0.023 detect.py:10(detect)
     1488    1.885    0.001   23.226    0.016 ResNet.py:100(forward)
       31    0.001    0.000   22.652    0.731 DECA.py:370(_encode_flame)
       31    0.000    0.000   22.639    0.730 DECA.py:3204(_encode_flame)
     1004    0.067    0.000   22.041    0.022 detect.py:20(batch_detect)
     1006    0.013    0.000   21.350    0.021 _io.py:16(imread)
       31    0.000    0.000   21.199    0.684 DECA.py:3028(_encode_flame)
     1006    0.004    0.000   17.460    0.017 manage_plugins.py:171(call_plugin)
     1006    0.008    0.000   17.456    0.017 imageio_plugin.py:8(imread)
