         410628875 function calls (409984089 primitive calls) in 620.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    72679    1.925    0.000    1.925    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9886    0.072    0.000    1.848    0.000 Image.py:2728(fromarray)
     3928    0.036    0.000    1.845    0.000 exposure.py:777(is_low_contrast)
        1    0.000    0.000    1.840    1.840 saving.py:156(_load_model_state)
        1    0.000    0.000    1.836    1.836 dispatcher.py:340(_compile_for_args)
     38/1    0.000    0.000    1.829    1.829 dispatcher.py:864(compile)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:78(compile)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:85(_compile_cached)
     12/1    0.000    0.000    1.829    1.829 dispatcher.py:100(_compile_core)
     12/1    0.000    0.000    1.829    1.829 compiler.py:580(compile_extra)
     24/1    0.000    0.000    1.803    1.803 compiler.py:347(compile_extra)
     24/1    0.000    0.000    1.802    1.802 compiler.py:410(_compile_bytecode)
     24/1    0.000    0.000    1.802    1.802 compiler.py:370(_compile_core)
     24/1    0.001    0.000    1.802    1.802 compiler_machinery.py:316(run)
   528/22    0.001    0.000    1.802    0.082 compiler_lock.py:32(_acquire_compile_lock)
   528/22    0.003    0.000    1.802    0.082 compiler_machinery.py:257(_runPass)
  1584/66    0.001    0.000    1.801    0.027 compiler_machinery.py:261(check)
     2946    0.015    0.000    1.763    0.001 _warps.py:692(_clip_warp_output)
        1    0.000    0.000    1.747    1.747 DECA.py:72(__init__)
        1    0.000    0.000    1.746    1.746 DECA.py:2728(__init__)
      246    0.001    0.000    1.743    0.007 DECA.py:3028(_encode_flame)
    80048    0.593    0.000    1.729    0.000 {built-in method numpy.array}
    58539    0.027    0.000    1.688    0.000 <__array_function__ internals>:177(concatenate)
     1964    0.009    0.000    1.648    0.001 Image.py:1439(paste)
    22587    0.017    0.000    1.645    0.000 fromnumeric.py:51(_wrapfunc)
      246    0.027    0.000    1.632    0.007 Renderer.py:217(forward)
     1964    1.631    0.001    1.631    0.001 {method 'paste' of 'ImagingCore' objects}
     6874    0.010    0.000    1.530    0.000 <__array_function__ internals>:177(clip)
     6874    0.013    0.000    1.503    0.000 fromnumeric.py:2083(clip)
      985    0.015    0.000    1.488    0.002 npyio.py:272(load)
     6874    0.009    0.000    1.480    0.000 {method 'clip' of 'numpy.ndarray' objects}
    24/12    0.000    0.000    1.478    0.123 typed_passes.py:451(run_pass)
    24/12    0.001    0.000    1.476    0.123 typed_passes.py:360(run_pass)
     6874    0.022    0.000    1.471    0.000 _methods.py:125(_clip)
     3928    0.015    0.000    1.467    0.000 io.py:15(torch_img_to_np)
     3444    1.251    0.000    1.457    0.000 utils.py:117(list_to_packed)
      986    0.005    0.000    1.423    0.001 format.py:698(read_array)
     1964    0.003    0.000    1.422    0.001 <__array_function__ internals>:177(dstack)
     1964    0.487    0.000    1.416    0.001 DecaUtils.py:613(tensor2image)
     1964    0.007    0.000    1.409    0.001 shape_base.py:663(dstack)
        2    0.000    0.000    1.342    0.671 FaceDetector.py:77(__init__)
        2    0.001    0.001    1.342    0.671 api.py:52(__init__)
     6874    1.340    0.000    1.340    0.000 _methods.py:106(_clip_dep_invoke_with_casting)
     1722    0.833    0.000    1.282    0.001 meshes.py:215(__init__)
1009/1001    1.271    0.001    1.277    0.001 {built-in method _pickle.load}
     24/5    0.000    0.000    1.243    0.249 typed_passes.py:97(run_pass)
     24/5    0.000    0.000    1.243    0.249 typed_passes.py:61(type_inference_stage)
     24/5    0.000    0.000    1.236    0.247 typeinfer.py:1052(propagate)
    51/11    0.002    0.000    1.236    0.112 typeinfer.py:141(propagate)
        1    0.000    0.000    1.228    1.228 DECA.py:2777(_reinitialize)
  659/219    0.002    0.000    1.222    0.006 typeinfer.py:568(resolve)
  750/236    0.000    0.000    1.219    0.005 context.py:187(resolve_function_type)
  659/219    0.000    0.000    1.219    0.006 typeinfer.py:1500(resolve_call)
  750/236    0.001    0.000    1.218    0.005 context.py:231(_resolve_user_function_type)
   295/80    0.001    0.000    1.198    0.015 typeinfer.py:558(__call__)
     37/6    0.000    0.000    1.191    0.199 functions.py:521(get_call_type)
     37/6    0.000    0.000    1.191    0.198 dispatcher.py:300(get_call_template)
     3928    0.005    0.000    1.182    0.000 <__array_function__ internals>:177(percentile)
        2    1.180    0.590    1.180    0.590 {built-in method posix.system}
     3928    0.027    0.000    1.173    0.000 function_base.py:3861(percentile)
        1    0.000    0.000    1.172    1.172 FaceVideoDataModule.py:157(_unpack_videos)
        1    0.000    0.000    1.172    1.172 FaceVideoDataModule.py:174(_unpack_video)
     3928    0.005    0.000    1.133    0.000 function_base.py:4375(_quantile_unchecked)
     6986    0.017    0.000    1.128    0.000 Image.py:679(__array_interface__)
     3928    0.008    0.000    1.127    0.000 function_base.py:3651(_ureduce)
     3928    0.008    0.000    1.118    0.000 function_base.py:4527(_quantile_ureduce_func)
     6986    0.040    0.000    1.103    0.000 Image.py:710(tobytes)
     3928    0.016    0.000    1.063    0.000 pillow.py:795(ndarray_to_pil)
     1004    0.001    0.000    1.037    0.001 FaceDataModuleBase.py:110(_instantiate_detector)
    24/12    0.000    0.000    1.021    0.085 lowering.py:131(lower)
     3928    0.049    0.000    1.012    0.000 function_base.py:4595(_quantile)
     2008    0.004    0.000    0.993    0.000 memory.py:109(empty_cache)
        4    0.000    0.000    0.985    0.246 _utils.py:130(wrapper)
        4    0.000    0.000    0.985    0.246 _utils.py:171(inner_wrapper)
     2008    0.985    0.000    0.985    0.000 {built-in method torch._C._cuda_emptyCache}
   1500/5    0.010    0.000    0.980    0.196 module.py:577(_apply)
   177740    0.968    0.000    0.968    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.935    0.468 sfd_detector.py:19(__init__)
        1    0.000    0.000    0.933    0.933 DECA.py:3163(_create_model)
     9886    0.016    0.000    0.931    0.000 Image.py:2675(frombuffer)
    59297    0.901    0.000    0.901    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7922    0.016    0.000    0.886    0.000 Image.py:2637(frombytes)
        4    0.000    0.000    0.880    0.220 module.py:823(to)
  719/377    0.009    0.000    0.878    0.002 functions.py:283(get_call_type)
        3    0.000    0.000    0.877    0.292 DecaEncoder.py:77(__init__)
        3    0.000    0.000    0.877    0.292 DecaEncoder.py:36(__init__)
     2388    0.001    0.000    0.861    0.000 module.py:921(convert)
      415    0.002    0.000    0.853    0.002 init.py:366(kaiming_uniform_)
   293801    0.198    0.000    0.851    0.000 PngImagePlugin.py:888(load_read)
        3    0.000    0.000    0.851    0.284 DecaEncoder.py:89(_create_encoder)
        3    0.004    0.001    0.851    0.284 ResNet.py:175(load_ResNet50Model)
5352/2773    0.003    0.000    0.850    0.000 templates.py:343(apply)
      512    0.848    0.002    0.848    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
     3928    0.842    0.000    0.842    0.000 {method 'tobytes' of 'numpy.ndarray' objects}
    24/12    0.000    0.000    0.831    0.069 lowering.py:182(lower_normal_function)
2289/1167    0.002    0.000    0.825    0.001 templates.py:592(generic)
2289/1167    0.002    0.000    0.823    0.001 templates.py:681(_get_impl)
  252/168    0.000    0.000    0.820    0.005 templates.py:694(_build_impl)
      246    0.189    0.001    0.797    0.003 DecaUtils.py:719(tensor_vis_landmarks)
     3928    0.168    0.000    0.791    0.000 lightning_logging.py:7(_fix_image)
     1004    0.780    0.001    0.780    0.001 {method 'flip' of 'torch._C._TensorBase' objects}
     2261    0.010    0.000    0.778    0.000 std.py:1160(__iter__)
     3974    0.011    0.000    0.773    0.000 format.py:333(get_data)
    24/12    0.000    0.000    0.759    0.063 lowering.py:196(lower_function_body)
   140/85    0.003    0.000    0.758    0.009 lowering.py:220(lower_block)
2030/1399    0.004    0.000    0.751    0.001 lowering.py:321(lower_inst)
     2946    0.009    0.000    0.748    0.000 ImageDatasetHelpers.py:61(point2transform)
     3974    0.010    0.000    0.730    0.000 pillow.py:300(_get_data)
     1004    0.256    0.000    0.719    0.001 detect.py:47(get_predictions)
     3974    0.010    0.000    0.718    0.000 pillow.py:167(_get_data)
     2946    0.014    0.000    0.717    0.000 _geometric.py:1552(estimate_transform)
     3974    0.009    0.000    0.702    0.000 pillow.py:698(pil_get_frame)
     3444    0.672    0.000    0.672    0.000 {built-in method torch.allclose}
     3928    0.663    0.000    0.663    0.000 {method 'partition' of 'numpy.ndarray' objects}
     2946    0.012    0.000    0.659    0.000 _geometric.py:1340(estimate)
        1    0.000    0.000    0.645    0.645 DECA.py:2911(_create_model)
    40590    0.079    0.000    0.634    0.000 batchnorm.py:134(forward)
    17684    0.032    0.000    0.622    0.000 fromnumeric.py:69(_wrapreduction)
     2946    0.128    0.000    0.619    0.000 _geometric.py:91(_umeyama)
  886/620    0.001    0.000    0.612    0.001 lowering.py:492(lower_assign)
     3928    0.007    0.000    0.612    0.000 utils.py:388(fixed_func)
     3928    0.170    0.000    0.604    0.000 colorconv.py:834(rgb2gray)
  477/342    0.001    0.000    0.599    0.002 lowering.py:997(lower_expr)
      982    0.002    0.000    0.597    0.001 <__array_function__ internals>:177(norm)
      982    0.083    0.000    0.592    0.001 linalg.py:2349(norm)
    10642    0.500    0.000    0.581    0.000 ffi.py:149(__call__)
     6874    0.522    0.000    0.578    0.000 dtype.py:179(_convert)
      982    0.002    0.000    0.549    0.001 <__array_function__ internals>:177(prod)
      982    0.003    0.000    0.545    0.001 fromnumeric.py:2970(prod)
1974/1968    0.004    0.000    0.541    0.000 pathlib.py:1281(mkdir)
      402    0.001    0.000    0.535    0.001 conv.py:425(__init__)
      402    0.002    0.000    0.531    0.001 conv.py:67(__init__)
     1982    0.522    0.000    0.529    0.000 {built-in method posix.mkdir}
        1    0.000    0.000    0.518    0.518 DECA.py:3195(_reconfigure)
        1    0.000    0.000    0.518    0.518 DECA.py:2749(_reconfigure)
