         52420635 function calls (51968309 primitive calls) in 259.210 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1584/66    0.001    0.000    1.951    0.030 compiler_machinery.py:261(check)
      112    1.749    0.016    1.784    0.016 meshes.py:215(__init__)
    24/12    0.000    0.000    1.614    0.134 typed_passes.py:451(run_pass)
    24/12    0.001    0.000    1.611    0.134 typed_passes.py:360(run_pass)
      985    0.015    0.000    1.473    0.001 npyio.py:272(load)
        2    0.000    0.000    1.442    0.721 FaceDetector.py:77(__init__)
        2    0.000    0.000    1.442    0.721 api.py:52(__init__)
      986    0.006    0.000    1.421    0.001 format.py:698(read_array)
     24/5    0.000    0.000    1.362    0.272 typed_passes.py:97(run_pass)
     24/5    0.000    0.000    1.362    0.272 typed_passes.py:61(type_inference_stage)
     24/5    0.000    0.000    1.356    0.271 typeinfer.py:1052(propagate)
    51/11    0.002    0.000    1.355    0.123 typeinfer.py:141(propagate)
      112    0.006    0.000    1.342    0.012 rasterize_meshes.py:29(rasterize_meshes)
  659/219    0.002    0.000    1.340    0.006 typeinfer.py:568(resolve)
  750/236    0.000    0.000    1.337    0.006 context.py:187(resolve_function_type)
  659/219    0.000    0.000    1.337    0.006 typeinfer.py:1500(resolve_call)
  750/236    0.001    0.000    1.336    0.006 context.py:231(_resolve_user_function_type)
        1    0.000    0.000    1.321    1.321 DECA.py:2777(_reinitialize)
   295/80    0.001    0.000    1.315    0.016 typeinfer.py:558(__call__)
     37/6    0.000    0.000    1.309    0.218 functions.py:521(get_call_type)
     37/6    0.000    0.000    1.308    0.218 dispatcher.py:300(get_call_template)
        4    0.000    0.000    1.303    0.326 _utils.py:130(wrapper)
        4    0.000    0.000    1.303    0.326 _utils.py:171(inner_wrapper)
 1004/996    1.275    0.001    1.283    0.001 {built-in method _pickle.load}
 19760183    1.281    0.000    1.281    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      336    0.014    0.000    1.255    0.004 meshes.py:957(_compute_packed)
      112    0.000    0.000    1.255    0.011 meshes.py:554(verts_packed)
     1964    0.508    0.000    1.218    0.001 DecaUtils.py:613(tensor2image)
    24/12    0.000    0.000    1.130    0.094 lowering.py:131(lower)
      415    0.002    0.000    1.092    0.003 init.py:366(kaiming_uniform_)
      512    1.087    0.002    1.087    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1004    0.002    0.000    1.069    0.001 FaceDataModuleBase.py:110(_instantiate_detector)
      224    0.937    0.004    1.040    0.005 utils.py:117(list_to_packed)
   1500/5    0.010    0.000    1.035    0.207 module.py:577(_apply)
        2    0.000    0.000    1.030    0.515 sfd_detector.py:19(__init__)
        1    0.000    0.000    1.028    1.028 DECA.py:3163(_create_model)
     2008    0.006    0.000    1.023    0.001 memory.py:109(empty_cache)
     2008    1.012    0.001    1.012    0.001 {built-in method torch._C._cuda_emptyCache}
  719/377    0.009    0.000    0.971    0.003 functions.py:283(get_call_type)
        3    0.000    0.000    0.955    0.318 DecaEncoder.py:77(__init__)
        3    0.000    0.000    0.955    0.318 DecaEncoder.py:36(__init__)
5352/2773    0.004    0.000    0.943    0.000 templates.py:343(apply)
        3    0.000    0.000    0.934    0.311 DecaEncoder.py:89(_create_encoder)
        3    0.002    0.001    0.934    0.311 ResNet.py:175(load_ResNet50Model)
2289/1167    0.002    0.000    0.918    0.001 templates.py:592(generic)
2289/1167    0.002    0.000    0.916    0.001 templates.py:681(_get_impl)
