         12683407 function calls (12228754 primitive calls) in 122.235 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   528/22    0.003    0.000    1.866    0.085 compiler_machinery.py:257(_runPass)
  1584/66    0.001    0.000    1.865    0.028 compiler_machinery.py:261(check)
        1    0.000    0.000    1.788    1.788 saving.py:156(_load_model_state)
     1488    0.039    0.000    1.778    0.001 ResNet.py:100(forward)
     1041    0.004    0.000    1.682    0.002 std.py:1160(__iter__)
        1    0.000    0.000    1.674    1.674 DECA.py:72(__init__)
        1    0.000    0.000    1.673    1.673 DECA.py:2728(__init__)
       31    0.001    0.000    1.609    0.052 DECA.py:370(_encode_flame)
       31    0.352    0.011    1.607    0.052 DecaUtils.py:719(tensor_vis_landmarks)
       31    0.000    0.000    1.596    0.051 DECA.py:3204(_encode_flame)
        2    0.000    0.000    1.545    0.772 dataloader.py:431(__iter__)
        2    0.000    0.000    1.545    0.772 dataloader.py:385(_get_iterator)
        2    0.003    0.001    1.544    0.772 dataloader.py:1037(__init__)
    24/12    0.000    0.000    1.541    0.128 typed_passes.py:451(run_pass)
    24/12    0.001    0.000    1.539    0.128 typed_passes.py:360(run_pass)
        2    0.000    0.000    1.397    0.699 FaceDetector.py:77(__init__)
        2    0.001    0.000    1.397    0.699 api.py:52(__init__)
       31    0.000    0.000    1.367    0.044 DECA.py:3028(_encode_flame)
     24/5    0.000    0.000    1.200    0.240 typed_passes.py:97(run_pass)
     24/5    0.000    0.000    1.200    0.240 typed_passes.py:61(type_inference_stage)
     24/5    0.000    0.000    1.193    0.239 typeinfer.py:1052(propagate)
    51/11    0.002    0.000    1.193    0.108 typeinfer.py:141(propagate)
  659/219    0.002    0.000    1.178    0.005 typeinfer.py:568(resolve)
  750/236    0.000    0.000    1.175    0.005 context.py:187(resolve_function_type)
  659/219    0.000    0.000    1.175    0.005 typeinfer.py:1500(resolve_call)
  750/236    0.001    0.000    1.174    0.005 context.py:231(_resolve_user_function_type)
        1    0.000    0.000    1.155    1.155 DECA.py:2777(_reinitialize)
   295/80    0.001    0.000    1.153    0.014 typeinfer.py:558(__call__)
     37/6    0.000    0.000    1.146    0.191 functions.py:521(get_call_type)
