         18469628 function calls (17697675 primitive calls) in 179.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   347/82    0.003    0.000    5.888    0.072 typeinfer.py:570(__call__)
      245    0.001    0.000    5.802    0.024 DECA.py:3028(_encode_flame)
      245    0.001    0.000    5.713    0.023 dataloader.py:1296(_get_data)
      245    0.001    0.000    5.712    0.023 dataloader.py:1150(_try_get_data)
      245    0.004    0.000    5.711    0.023 queues.py:92(get)
  775/343    0.020    0.000    5.373    0.016 functions.py:281(get_call_type)
3292/1436    0.007    0.000    5.308    0.004 templates.py:349(apply)
    40425    0.283    0.000    5.297    0.000 functional.py:2407(batch_norm)
  623/182    0.002    0.000    5.252    0.029 templates.py:607(generic)
  623/182    0.004    0.000    5.245    0.029 templates.py:698(_get_impl)
    72/14    0.001    0.000    5.221    0.373 templates.py:749(_build_impl)
      265    0.002    0.000    5.084    0.019 selectors.py:402(select)
      265    5.081    0.019    5.081    0.019 {method 'poll' of 'select.poll' objects}
      253    0.004    0.000    5.066    0.020 connection.py:917(wait)
    40425    4.913    0.000    4.913    0.000 {built-in method torch.batch_norm}
     1715    0.492    0.000    4.911    0.003 Renderer.py:141(forward)
      245    1.616    0.007    4.643    0.019 DecaUtils.py:719(tensor_vis_landmarks)
        1    0.000    0.000    4.602    4.602 load.py:159(load_model)
        1    0.000    0.000    4.469    4.469 load.py:32(load_deca)
        1    0.000    0.000    4.468    4.468 saving.py:52(load_from_checkpoint)
        1    0.000    0.000    4.194    4.194 saving.py:156(_load_model_state)
        1    0.000    0.000    4.041    4.041 DECA.py:72(__init__)
        1    0.000    0.000    4.039    4.039 DECA.py:2728(__init__)
    21444    3.220    0.000    3.716    0.000 ffi.py:188(__call__)
      245    0.001    0.000    3.573    0.015 connection.py:253(poll)
      245    0.001    0.000    3.571    0.015 connection.py:423(_poll)
    46/28    0.001    0.000    3.545    0.127 lowering.py:182(lower)
      245    0.030    0.000    3.416    0.014 DecaFLAME.py:285(forward)
       40    0.000    0.000    3.387    0.085 process.py:142(join)
       40    0.000    0.000    3.386    0.085 popen_fork.py:40(wait)
       47    0.001    0.000    3.308    0.070 codegen.py:739(finalize)
  275/168    0.000    0.000    3.283    0.020 codegen.py:565(_ensure_finalized)
