         16209533 function calls (15578171 primitive calls) in 117.503 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  623/182    0.003    0.000    4.932    0.027 templates.py:698(_get_impl)
    72/14    0.001    0.000    4.908    0.351 templates.py:749(_build_impl)
       32    0.002    0.000    4.851    0.152 process.py:110(start)
       32    0.001    0.000    4.845    0.151 context.py:222(_Popen)
       32    0.001    0.000    4.845    0.151 context.py:274(_Popen)
       32    0.001    0.000    4.843    0.151 popen_fork.py:15(__init__)
       32    0.003    0.000    4.841    0.151 popen_fork.py:66(_launch)
       32    4.751    0.148    4.752    0.148 {built-in method posix.fork}
      128    0.036    0.000    4.554    0.036 DecaUtils.py:188(vertex_normals)
       64    0.002    0.000    4.273    0.067 Renderer.py:448(world2uv)
       32    0.010    0.000    3.904    0.122 Renderer.py:351(render_shape)
      210    0.017    0.000    3.853    0.018 DecaUtils.py:167(face_vertices)
        1    0.000    0.000    3.733    3.733 DECA.py:2777(_reinitialize)
    21444    3.193    0.000    3.690    0.000 ffi.py:188(__call__)
     1026    0.008    0.000    3.520    0.003 std.py:1160(__iter__)
        4    0.000    0.000    3.371    0.843 _utils.py:130(wrapper)
        4    0.000    0.000    3.371    0.843 _utils.py:171(inner_wrapper)
       47    0.001    0.000    3.302    0.070 codegen.py:739(finalize)
  275/168    0.000    0.000    3.279    0.020 codegen.py:565(_ensure_finalized)
    46/28    0.001    0.000    3.262    0.116 lowering.py:182(lower)
        1    0.000    0.000    3.182    3.182 DECA.py:3163(_create_model)
38734/28938    0.700    0.000    3.077    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.001    0.000    3.053    0.090 cpu.py:225(get_executable)
       34    0.000    0.000    3.044    0.090 codegen.py:975(get_pointer_to_function)
        3    0.000    0.000    3.035    1.012 DecaEncoder.py:77(__init__)
        3    0.000    0.000    3.035    1.012 DecaEncoder.py:36(__init__)
        3    0.000    0.000    2.985    0.995 DecaEncoder.py:89(_create_encoder)
        3    0.003    0.001    2.985    0.995 ResNet.py:175(load_ResNet50Model)
        2    0.000    0.000    2.949    1.474 FaceDetector.py:77(__init__)
        2    0.001    0.000    2.948    1.474 api.py:54(__init__)
    46/28    0.000    0.000    2.741    0.098 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.718    0.097 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.715    0.026 lowering.py:275(lower_block)
2292/1615    0.014    0.000    2.693    0.002 lowering.py:457(lower_inst)
    16064    0.632    0.000    2.638    0.000 net_blazeface.py:32(forward)
       16    0.818    0.051    2.576    0.161 DecaUtils.py:719(tensor_vis_landmarks)
57625/57622    0.011    0.000    2.553    0.000 {built-in method builtins.iter}
        1    0.000    0.000    2.542    2.542 asyncio.py:23(__init__)
     1004    0.004    0.000    2.504    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
 1017/725    0.004    0.000    2.405    0.003 lowering.py:665(lower_assign)
  531/388    0.004    0.000    2.358    0.006 lowering.py:1185(lower_expr)
      427    0.003    0.000    2.354    0.006 init.py:366(kaiming_uniform_)
      536    2.342    0.004    2.342    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    2.274    2.274 DECA.py:2911(_create_model)
     1956    0.904    0.000    2.224    0.001 DecaUtils.py:613(tensor2image)
     1982    2.210    0.001    2.210    0.001 {resize}
     1004    0.010    0.000    2.053    0.002 utils.py:37(resize_and_crop_image)
     1004    0.008    0.000    2.043    0.002 utils.py:5(image_resize)
        2    0.000    0.000    2.001    1.000 blazeface_detector.py:18(__init__)
     3599    1.984    0.001    1.988    0.001 {built-in method torch.tensor}
        2    0.000    0.000    1.946    0.973 net_blazeface.py:226(load_anchors_from_npy)
  344/268    0.001    0.000    1.938    0.007 base.py:1186(__call__)
  343/268    0.001    0.000    1.933    0.007 base.py:1215(wrapper)
        1    0.000    0.000    1.882    1.882 DECA.py:3195(_reconfigure)
        1    0.000    0.000    1.882    1.882 DECA.py:2749(_reconfigure)
        2    0.000    0.000    1.864    0.932 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    1.862    1.862 DecaLosses.py:462(__init__)
        1    0.055    0.055    1.862    1.862 DecaLosses.py:423(__init__)
        1    0.000    0.000    1.806    1.806 vgg.py:438(vgg19)
        1    0.041    0.041    1.806    1.806 vgg.py:98(_vgg)
    36/29    0.000    0.000    1.794    0.062 base.py:844(compile_subroutine)
     12/9    0.001    0.000    1.792    0.199 base.py:806(_compile_subroutine_no_cache)
      978    0.021    0.000    1.776    0.002 _warps.py:640(_clip_warp_output)
  152/119    0.002    0.000    1.736    0.015 lowering.py:915(lower_call)
  139/113    0.002    0.000    1.723    0.015 lowering.py:1157(_lower_call_normal)
       47    0.001    0.000    1.716    0.037 codegen.py:781(_finalize_final_module)
       16    0.000    0.000    1.699    0.106 DecaFLAME.py:285(forward)
       16    0.002    0.000    1.696    0.106 DecaFLAME.py:222(forward)
    33/26    0.000    0.000    1.692    0.065 base.py:873(compile_internal)
       16    0.002    0.000    1.665    0.104 lbs.py:142(lbs)
       16    1.636    0.102    1.644    0.103 lbs.py:326(batch_rigid_transform)
     12/9    0.000    0.000    1.597    0.177 compiler.py:837(compile_internal)
        3    0.000    0.000    1.563    0.521 resnet.py:698(resnet50)
        3    0.002    0.001    1.563    0.521 resnet.py:288(_resnet)
     2008    0.006    0.000    1.507    0.001 memory.py:109(empty_cache)
     2008    1.495    0.001    1.495    0.001 {built-in method torch._C._cuda_emptyCache}
       47    0.000    0.000    1.466    0.031 codegen.py:996(_finalize_specific)
     5894    1.440    0.000    1.440    0.000 {method 'copy' of 'numpy.ndarray' objects}
       47    0.001    0.000    1.431    0.030 codegen.py:667(_optimize_final_module)
       94    0.000    0.000    1.429    0.015 passmanagers.py:668(run)
    19573    1.404    0.000    1.404    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8810    0.033    0.000    1.399    0.000 fromnumeric.py:69(_wrapreduction)
        3    0.002    0.001    1.385    0.462 ResNet.py:26(__init__)
       83    0.000    0.000    1.364    0.016 codegen.py:1058(wrapper)
       47    0.000    0.000    1.362    0.029 executionengine.py:87(finalize_object)
     1004    0.220    0.000    1.312    0.001 net_blazeface.py:303(_tensors_to_detections)
      414    0.002    0.000    1.309    0.003 conv.py:425(__init__)
      414    0.006    0.000    1.301    0.003 conv.py:67(__init__)
        9    0.002    0.000    1.295    0.144 serialization.py:607(load)
    15/12    0.000    0.000    1.294    0.108 templates.py:1076(_get_signature)
    36/30    0.000    0.000    1.293    0.043 functions.py:389(get_call_type)
     10/8    0.000    0.000    1.291    0.161 templates.py:1134(generic)
      414    0.002    0.000    1.244    0.003 conv.py:140(reset_parameters)
   145920    0.241    0.000    1.179    0.000 PngImagePlugin.py:953(load_read)
     2337    1.170    0.001    1.170    0.001 {method 'float' of 'torch._C._TensorBase' objects}
        3    0.002    0.001    1.156    0.385 resnet.py:167(__init__)
       59    0.001    0.000    1.136    0.019 selectors.py:402(select)
