         16247050 function calls (15615716 primitive calls) in 246.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.009    0.000    3.895    0.122 Renderer.py:351(render_shape)
      210    0.016    0.000    3.871    0.018 DecaUtils.py:167(face_vertices)
    21444    3.250    0.000    3.736    0.000 ffi.py:188(__call__)
       47    0.001    0.000    3.347    0.071 codegen.py:739(finalize)
  275/168    0.000    0.000    3.322    0.020 codegen.py:565(_ensure_finalized)
38734/28938    0.603    0.000    3.145    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.001    0.000    3.113    0.092 cpu.py:225(get_executable)
       34    0.000    0.000    3.105    0.091 codegen.py:975(get_pointer_to_function)
    46/28    0.001    0.000    3.064    0.109 lowering.py:182(lower)
        4    0.000    0.000    2.961    0.740 _utils.py:130(wrapper)
        4    0.000    0.000    2.961    0.740 _utils.py:171(inner_wrapper)
        2    0.000    0.000    2.907    1.454 FaceDetector.py:77(__init__)
        2    0.001    0.000    2.907    1.454 api.py:54(__init__)
        1    0.000    0.000    2.874    2.874 DECA.py:2777(_reinitialize)
    46/28    0.000    0.000    2.548    0.091 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.524    0.090 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.522    0.024 lowering.py:275(lower_block)
        1    0.000    0.000    2.516    2.516 DECA.py:3163(_create_model)
2292/1615    0.014    0.000    2.500    0.002 lowering.py:457(lower_inst)
    16064    0.623    0.000    2.472    0.000 net_blazeface.py:32(forward)
     1004    0.002    0.000    2.443    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
        3    0.000    0.000    2.285    0.762 DecaEncoder.py:77(__init__)
        3    0.000    0.000    2.285    0.762 DecaEncoder.py:36(__init__)
        3    0.000    0.000    2.247    0.749 DecaEncoder.py:89(_create_encoder)
        3    0.012    0.004    2.246    0.749 ResNet.py:175(load_ResNet50Model)
     1982    2.235    0.001    2.235    0.001 {resize}
 1017/725    0.003    0.000    2.206    0.003 lowering.py:665(lower_assign)
      427    0.003    0.000    2.168    0.005 init.py:366(kaiming_uniform_)
  531/388    0.004    0.000    2.162    0.006 lowering.py:1185(lower_expr)
      536    2.158    0.004    2.158    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1004    0.010    0.000    2.078    0.002 utils.py:37(resize_and_crop_image)
     1004    0.008    0.000    2.068    0.002 utils.py:5(image_resize)
        2    0.000    0.000    1.960    0.980 blazeface_detector.py:18(__init__)
     3599    1.944    0.001    1.949    0.001 {built-in method torch.tensor}
      978    0.022    0.000    1.922    0.002 _warps.py:640(_clip_warp_output)
        2    0.000    0.000    1.905    0.953 net_blazeface.py:226(load_anchors_from_npy)
       16    0.480    0.030    1.899    0.119 DecaUtils.py:719(tensor_vis_landmarks)
        1    0.000    0.000    1.865    1.865 DECA.py:2911(_create_model)
  344/268    0.001    0.000    1.741    0.006 base.py:1186(__call__)
        1    0.000    0.000    1.738    1.738 DECA.py:3195(_reconfigure)
        1    0.000    0.000    1.737    1.737 DECA.py:2749(_reconfigure)
  343/268    0.001    0.000    1.737    0.006 base.py:1215(wrapper)
       47    0.001    0.000    1.726    0.037 codegen.py:781(_finalize_final_module)
        2    0.000    0.000    1.719    0.860 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    1.718    1.718 DecaLosses.py:462(__init__)
        1    0.024    0.024    1.718    1.718 DecaLosses.py:423(__init__)
        1    0.000    0.000    1.694    1.694 vgg.py:438(vgg19)
        1    0.017    0.017    1.694    1.694 vgg.py:98(_vgg)
    36/29    0.000    0.000    1.625    0.056 base.py:844(compile_subroutine)
     12/9    0.001    0.000    1.624    0.180 base.py:806(_compile_subroutine_no_cache)
    19573    1.545    0.000    1.545    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  152/119    0.002    0.000    1.543    0.013 lowering.py:915(lower_call)
     8810    0.034    0.000    1.542    0.000 fromnumeric.py:69(_wrapreduction)
  139/113    0.002    0.000    1.531    0.014 lowering.py:1157(_lower_call_normal)
    33/26    0.000    0.000    1.527    0.059 base.py:873(compile_internal)
     2008    0.006    0.000    1.511    0.001 memory.py:109(empty_cache)
     2008    1.498    0.001    1.498    0.001 {built-in method torch._C._cuda_emptyCache}
       47    0.000    0.000    1.486    0.032 codegen.py:996(_finalize_specific)
       47    0.001    0.000    1.473    0.031 codegen.py:667(_optimize_final_module)
       94    0.000    0.000    1.471    0.016 passmanagers.py:668(run)
     12/9    0.000    0.000    1.446    0.161 compiler.py:837(compile_internal)
       83    0.000    0.000    1.384    0.017 codegen.py:1058(wrapper)
       47    0.000    0.000    1.381    0.029 executionengine.py:87(finalize_object)
       16    0.000    0.000    1.348    0.084 DecaFLAME.py:285(forward)
       16    0.002    0.000    1.345    0.084 DecaFLAME.py:222(forward)
       16    0.002    0.000    1.317    0.082 lbs.py:142(lbs)
       16    1.286    0.080    1.293    0.081 lbs.py:326(batch_rigid_transform)
     1026    0.007    0.000    1.285    0.001 std.py:1160(__iter__)
        3    0.000    0.000    1.266    0.422 resnet.py:698(resnet50)
        3    0.001    0.000    1.266    0.422 resnet.py:288(_resnet)
    36/30    0.000    0.000    1.262    0.042 functions.py:389(get_call_type)
    15/12    0.000    0.000    1.261    0.105 templates.py:1076(_get_signature)
     10/8    0.000    0.000    1.260    0.157 templates.py:1134(generic)
       16    0.002    0.000    1.228    0.077 DECA.py:469(encode)
       48    0.000    0.000    1.203    0.025 DecaEncoder.py:59(forward)
   145920    0.248    0.000    1.194    0.000 PngImagePlugin.py:953(load_read)
      414    0.002    0.000    1.189    0.003 conv.py:425(__init__)
       48    0.000    0.000    1.184    0.025 DecaEncoder.py:50(forward_features)
       48    0.002    0.000    1.184    0.025 ResNet.py:66(forward)
      414    0.005    0.000    1.182    0.003 conv.py:67(__init__)
     1004    0.208    0.000    1.176    0.001 net_blazeface.py:303(_tensors_to_detections)
      414    0.002    0.000    1.129    0.003 conv.py:140(reset_parameters)
     1006    0.016    0.000    1.097    0.001 imopen.py:15(imopen)
        9    0.002    0.000    1.066    0.118 serialization.py:607(load)
      768    0.037    0.000    1.047    0.001 ResNet.py:100(forward)
       13    0.000    0.000    1.045    0.080 linear.py:90(__init__)
       13    0.000    0.000    1.044    0.080 linear.py:103(reset_parameters)
       16    0.001    0.000    0.987    0.062 DECA.py:370(_encode_flame)
       16    0.000    0.000    0.968    0.061 DECA.py:3204(_encode_flame)
        3    0.001    0.000    0.964    0.321 resnet.py:167(__init__)
        1    0.000    0.000    0.957    0.957 vgg.py:36(__init__)
        3    0.002    0.001    0.940    0.313 ResNet.py:26(__init__)
     1006    0.024    0.000    0.903    0.001 pillow.py:71(__init__)
      112    0.026    0.000    0.879    0.008 Renderer.py:141(forward)
       41    0.001    0.000    0.877    0.021 selectors.py:402(select)
       41    0.875    0.021    0.876    0.021 {method 'poll' of 'select.poll' objects}
     1004    0.857    0.001    0.875    0.001 net_blazeface.py:347(_decode_boxes)
       77    0.001    0.000    0.875    0.011 codegen.py:723(add_ir_module)
