         16242915 function calls (15611591 primitive calls) in 203.444 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.088    0.088  203.446  203.446 test_emoca_on_video_queue.py:48(reconstruct_video)
        2    0.000    0.000   78.548   39.274 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   78.123   78.123 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   77.908   77.908 FaceVideoDataModule.py:229(_detect_faces)
        1    0.005    0.005   77.908   77.908 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.021    0.000   77.768    0.077 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   77.649    0.077 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    1.875    0.002   77.644    0.077 FaceDataModuleBase.py:134(_detect_faces_in_image)
       40    0.001    0.000   54.861    1.372 selectors.py:402(select)
       40   54.860    1.371   54.860    1.371 {method 'poll' of 'select.poll' objects}
       29    0.001    0.000   54.832    1.891 connection.py:917(wait)
     1026    0.005    0.000   54.149    0.053 std.py:1160(__iter__)
       17    0.001    0.000   53.623    3.154 dataloader.py:676(__next__)
       17    0.000    0.000   53.606    3.153 dataloader.py:1329(_next_data)
     1004    0.019    0.000   44.548    0.044 FaceDetector.py:91(run)
     1004    0.003    0.000   43.319    0.043 api.py:102(get_landmarks)
     1004    0.012    0.000   43.316    0.043 grad_mode.py:24(decorate_context)
     1004    0.118    0.000   43.283    0.043 api.py:116(get_landmarks_from_image)
102898/2174   20.570    0.000   37.312    0.017 module.py:1124(_call_impl)
       16    0.000    0.000   35.431    2.214 dataloader.py:1296(_get_data)
       21    0.000    0.000   35.431    1.687 dataloader.py:1150(_try_get_data)
       21    0.000    0.000   35.430    1.687 queues.py:92(get)
       21    0.000    0.000   35.257    1.679 connection.py:253(poll)
       21    0.000    0.000   35.257    1.679 connection.py:423(_poll)
       16    0.790    0.049   33.789    2.112 io.py:77(test)
       16    0.001    0.000   28.602    1.788 io.py:86(decode)
      264    0.001    0.000   25.622    0.097 process.py:142(join)
      264    0.001    0.000   25.621    0.097 popen_fork.py:40(wait)
        3    0.000    0.000   19.585    6.528 dataloader.py:1431(_shutdown_workers)
      264    0.012    0.000   18.651    0.071 process.py:110(start)
      264    0.005    0.000   18.549    0.070 context.py:222(_Popen)
