         56068148 function calls (55429905 primitive calls) in 189.374 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.010    0.000    3.963    0.124 Renderer.py:351(render_shape)
 1000/992    3.922    0.004    3.937    0.004 {built-in method _pickle.load}
      210    0.018    0.000    3.858    0.018 DecaUtils.py:167(face_vertices)
        1    0.000    0.000    3.770    3.770 DECA.py:2777(_reinitialize)
    21444    3.145    0.000    3.634    0.000 ffi.py:188(__call__)
        4    0.000    0.000    3.623    0.906 _utils.py:130(wrapper)
        4    0.000    0.000    3.623    0.906 _utils.py:171(inner_wrapper)
 19679846    3.405    0.000    3.405    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    46/28    0.001    0.000    3.287    0.117 lowering.py:182(lower)
       47    0.001    0.000    3.245    0.069 codegen.py:739(finalize)
        1    0.000    0.000    3.223    3.223 DECA.py:3163(_create_model)
  275/168    0.000    0.000    3.220    0.019 codegen.py:565(_ensure_finalized)
38734/28938    0.790    0.000    3.158    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       34    0.001    0.000    3.007    0.088 cpu.py:225(get_executable)
       34    0.000    0.000    2.997    0.088 codegen.py:975(get_pointer_to_function)
        3    0.000    0.000    2.975    0.992 DecaEncoder.py:77(__init__)
        3    0.000    0.000    2.975    0.992 DecaEncoder.py:36(__init__)
        3    0.000    0.000    2.927    0.976 DecaEncoder.py:89(_create_encoder)
        3    0.018    0.006    2.927    0.976 ResNet.py:175(load_ResNet50Model)
        2    0.000    0.000    2.907    1.453 FaceDetector.py:77(__init__)
        2    0.001    0.000    2.907    1.453 api.py:54(__init__)
    46/28    0.000    0.000    2.766    0.099 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.741    0.098 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.739    0.026 lowering.py:275(lower_block)
2292/1615    0.014    0.000    2.717    0.002 lowering.py:457(lower_inst)
    16064    0.615    0.000    2.588    0.000 net_blazeface.py:32(forward)
       16    0.741    0.046    2.558    0.160 DecaUtils.py:719(tensor_vis_landmarks)
     1956    1.049    0.001    2.545    0.001 DecaUtils.py:613(tensor2image)
     1004    0.002    0.000    2.447    0.002 FaceDataModuleBase.py:110(_instantiate_detector)
 1017/725    0.003    0.000    2.428    0.003 lowering.py:665(lower_assign)
  531/388    0.004    0.000    2.384    0.006 lowering.py:1185(lower_expr)
        1    0.000    0.000    2.338    2.338 DECA.py:2911(_create_model)
      427    0.003    0.000    2.316    0.005 init.py:366(kaiming_uniform_)
      536    2.305    0.004    2.305    0.004 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1982    2.203    0.001    2.203    0.001 {resize}
     1004    0.010    0.000    2.045    0.002 utils.py:37(resize_and_crop_image)
     1004    0.008    0.000    2.036    0.002 utils.py:5(image_resize)
        2    0.000    0.000    1.974    0.987 blazeface_detector.py:18(__init__)
  344/268    0.001    0.000    1.971    0.007 base.py:1186(__call__)
  343/268    0.001    0.000    1.966    0.007 base.py:1215(wrapper)
     3599    1.961    0.001    1.966    0.001 {built-in method torch.tensor}
        2    0.000    0.000    1.919    0.960 net_blazeface.py:226(load_anchors_from_npy)
        1    0.000    0.000    1.859    1.859 DECA.py:3195(_reconfigure)
        1    0.000    0.000    1.858    1.858 DECA.py:2749(_reconfigure)
        2    0.000    0.000    1.836    0.918 DECA.py:2786(_init_deep_losses)
        1    0.000    0.000    1.834    1.834 DecaLosses.py:462(__init__)
        3    0.000    0.000    1.834    0.611 resnet.py:698(resnet50)
        3    0.001    0.000    1.834    0.611 resnet.py:288(_resnet)
        1    0.045    0.045    1.834    1.834 DecaLosses.py:423(__init__)
        1    0.000    0.000    1.788    1.788 vgg.py:438(vgg19)
        1    0.055    0.055    1.788    1.788 vgg.py:98(_vgg)
      978    0.021    0.000    1.761    0.002 _warps.py:640(_clip_warp_output)
     1026    0.008    0.000    1.735    0.002 std.py:1160(__iter__)
       47    0.001    0.000    1.677    0.036 codegen.py:781(_finalize_final_module)
    36/29    0.000    0.000    1.627    0.056 base.py:844(compile_subroutine)
     12/9    0.001    0.000    1.626    0.181 base.py:806(_compile_subroutine_no_cache)
  152/119    0.002    0.000    1.561    0.013 lowering.py:915(lower_call)
