         16157465 function calls (15526114 primitive calls) in 179.138 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.187    0.187  179.143  179.143 test_emoca_on_video_queue.py:48(reconstruct_video)
        2    0.000    0.000   74.625   37.313 datamodule.py:393(wrapped_fn)
        1    0.000    0.000   74.199   74.199 FaceVideoDataModule.py:3208(prepare_data)
        1    0.000    0.000   73.967   73.967 FaceVideoDataModule.py:229(_detect_faces)
        1    0.006    0.006   73.966   73.966 FaceVideoDataModule.py:340(_detect_faces_in_sequence)
     1004    0.020    0.000   73.833    0.074 FaceDataModuleBase.py:201(_detect_faces_in_image_wrapper)
     1004    0.005    0.000   73.717    0.073 FaceVideoDataModule.py:3242(_detect_faces_in_image)
     1004    1.837    0.002   73.713    0.073 FaceDataModuleBase.py:134(_detect_faces_in_image)
       24    0.000    0.000   59.037    2.460 process.py:142(join)
       24    0.000    0.000   59.037    2.460 popen_fork.py:40(wait)
      312    0.001    0.000   55.078    0.177 popen_fork.py:24(poll)
      306   55.077    0.180   55.077    0.180 {built-in method posix.waitpid}
     1004    0.018    0.000   43.299    0.043 FaceDetector.py:91(run)
     1004    0.003    0.000   42.032    0.042 api.py:102(get_landmarks)
     1004    0.012    0.000   42.029    0.042 grad_mode.py:24(decorate_context)
     1004    0.120    0.000   41.995    0.042 api.py:116(get_landmarks_from_image)
102898/2174   20.418    0.000   34.521    0.016 module.py:1124(_call_impl)
       16    0.266    0.017   28.391    1.774 io.py:77(test)
       16    0.001    0.000   25.879    1.617 io.py:86(decode)
     1006    0.015    0.000   13.595    0.014 _io.py:16(imread)
       16    0.010    0.001   13.472    0.842 DECA.py:938(decode)
     1006    0.004    0.000   13.454    0.013 manage_plugins.py:170(call_plugin)
     1006    0.006    0.000   13.449    0.013 imageio_plugin.py:9(imread)
     1006    0.009    0.000   13.422    0.013 v3.py:6(imread)
       16    1.562    0.098   12.406    0.775 DECA.py:2592(_visualization_checkpoint)
     1006    0.004    0.000   12.380    0.012 pillow.py:151(read)
     1006    0.011    0.000   12.372    0.012 pillow.py:301(_apply_transforms)
