         16235904 function calls (15604546 primitive calls) in 193.677 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    95/13    0.006    0.000    5.929    0.456 typeinfer.py:142(propagate)
  711/221    0.008    0.000    5.894    0.027 typeinfer.py:580(resolve)
  711/221    0.001    0.000    5.883    0.027 typeinfer.py:1519(resolve_call)
   115/14    0.001    0.000    5.857    0.418 functions.py:534(get_call_type)
   115/14    0.001    0.000    5.856    0.418 dispatcher.py:348(get_call_template)
   347/82    0.003    0.000    5.824    0.071 typeinfer.py:570(__call__)
  775/343    0.020    0.000    5.304    0.015 functions.py:281(get_call_type)
3292/1436    0.007    0.000    5.237    0.004 templates.py:349(apply)
  623/182    0.002    0.000    5.180    0.028 templates.py:607(generic)
  623/182    0.004    0.000    5.173    0.028 templates.py:698(_get_impl)
    72/14    0.001    0.000    5.145    0.368 templates.py:749(_build_impl)
      112    0.224    0.002    4.879    0.044 Renderer.py:141(forward)
      210    0.096    0.000    4.309    0.021 DecaUtils.py:167(face_vertices)
        1    0.000    0.000    4.307    4.307 load.py:159(load_model)
        1    0.000    0.000    4.204    4.204 load.py:32(load_deca)
        1    0.000    0.000    4.203    4.203 saving.py:52(load_from_checkpoint)
      112    0.013    0.000    4.063    0.036 rasterize_meshes.py:29(rasterize_meshes)
        1    0.000    0.000    3.979    3.979 saving.py:156(_load_model_state)
      336    0.025    0.000    3.873    0.012 meshes.py:957(_compute_packed)
      112    0.001    0.000    3.873    0.035 meshes.py:554(verts_packed)
        1    0.000    0.000    3.822    3.822 DECA.py:72(__init__)
        1    0.000    0.000    3.821    3.821 DECA.py:2728(__init__)
     1125    3.789    0.003    3.789    0.003 {built-in method torch.zeros}
    21444    3.215    0.000    3.710    0.000 ffi.py:188(__call__)
    46/28    0.001    0.000    3.472    0.124 lowering.py:182(lower)
      224    2.338    0.010    3.364    0.015 utils.py:117(list_to_packed)
38734/28938    1.333    0.000    3.343    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       47    0.001    0.000    3.316    0.071 codegen.py:739(finalize)
  275/168    0.000    0.000    3.291    0.020 codegen.py:565(_ensure_finalized)
     9345    0.005    0.000    3.123    0.000 popen_fork.py:24(poll)
     9342    3.118    0.000    3.118    0.000 {built-in method posix.waitpid}
       34    0.001    0.000    3.075    0.090 cpu.py:225(get_executable)
       34    0.000    0.000    3.065    0.090 codegen.py:975(get_pointer_to_function)
    46/28    0.000    0.000    2.948    0.105 lowering.py:233(lower_normal_function)
    46/28    0.001    0.000    2.916    0.104 lowering.py:250(lower_function_body)
  162/104    0.008    0.000    2.914    0.028 lowering.py:275(lower_block)
2292/1615    0.014    0.000    2.892    0.002 lowering.py:457(lower_inst)
       16    0.035    0.002    2.876    0.180 DECA.py:469(encode)
     3938    2.867    0.001    2.867    0.001 {method 'copy' of 'numpy.ndarray' objects}
        2    0.000    0.000    2.818    1.409 FaceDetector.py:77(__init__)
